Name: 450 Folsom [Transbay Block 8], Type: Unknown
Name: Park Tower [Transbay Block 5], Type: RC Shear Wall
Name: 33 Tehama Street, Type: RC Shear Wall
Name: 340 Fremont Street, Type: RC Shear Wall
Name: Oceanwide Center II, Type: RC Shear Wall
Name: 350 Mission Street, Type: RC Shear Wall
Name: Oceanwide Center I, Type: RC Shear Wall
Name: Solaire (Transbay Block 6), Type: RC Shear Wall
Name: Folsom Bay Tower [Transbay Block 1], Type: RC Shear Wall
Name: 1500 Mission - Residential, Type: RC Shear Wall
Name: Salesforce Tower, Type: RC Shear Wall
Name: 33 8th at Trinity Place Apartments, Type: RC Shear Wall
Name: 1500 Mission - Office, Type: RC Shear Wall
Name: 181 Fremont, Type: Steel Braced Frame
Name: 500 Folsom, Type: RC Shear Wall
Name: 350 Bush Street, Type: RC Shear Wall
Name: 399 Fremont Street, Type: RC Shear Wall
Name: 222 2nd Street, Type: Steel Braced Frame
Name: NEMA North Tower, Type: RC Shear Wall
Name: 535 Mission Street, Type: Steel Braced Frame
Name: Ava 55 Ninth, Type: RC Shear Wall
Name: Jasper, Type: RC Shear Wall
Name: 1190 Mission at Trinity Place Apartments, Type: RC Shear Wall
Name: LUMINA II, Type: RC Shear Wall
Name: LUMINA I, Type: RC Shear Wall
Name: SF PUC Headquarters, Type: RC Shear Wall
Name: One Rincon Hill South, Type: RC Shear Wall
Name: One Hawthorne Street, Type: RC Shear Wall
Name: 706 Mission Street, Type: RC Shear Wall
Name: 1188 Mission at Trinity Place Apartments, Type: RC Shear Wall
Name: Millenium Tower, Type: RC Shear Wall
Name: 555 Mission St, Type: Steel Braced Frame
Name: InterContinental San Francisco, Type: RC Shear Wall
Name: St. Regis San Francisc.. [St. Regis San Francisc.*, Type: RC Shear Wall
Name: One Rincon Hill North, Type: RC Shear Wall
Name: Infinity (B) North, Type: RC Shear Wall
Name: Infinity (D) South, Type: RC Shear Wall
Name: The Metropolitan I [The Metropolitan], Type: RC Shear Wall
Name: The Paramount, Type: RC Shear Wall
Name: The Watermark, Type: RC Shear Wall
Name: BridgeView, Type: RC Shear Wall
Name: Avalon Towers, Type: RC Shear Wall
Name: 55 2nd Street, Type: Steel Braced Frame
Name: GAP Building, Type: RC Shear Wall
Name: JPMorgan Chase, Type: Steel Braced Frame
Name: 33 New Montgomery Street, Type: Steel Braced Frame
Name: 150 California Street, Type: Steel Braced Frame
Name: 101 2nd Street, Type: Steel Moment Frame
